date_time,location,indicator,value,unit
2021-04-07T08:14:32Z,top,pm2.5,19.8,uq_m3
2021-04-07T08:14:32Z,top,pm10,59.9,uq_m3
2021-04-07T08:20:13Z,top,pm2.5,31,uq_m3
2021-04-07T08:20:13Z,top,pm10,85.75,uq_m3
2021-04-07T08:25:53Z,top,pm2.5,29.9,uq_m3
2021-04-07T08:25:53Z,top,pm10,73.85,uq_m3
2021-04-07T08:31:33Z,top,pm2.5,18,uq_m3
2021-04-07T08:31:33Z,top,pm10,44,uq_m3
2021-04-07T08:37:13Z,top,pm2.5,20.7,uq_m3
2021-04-07T08:37:13Z,top,pm10,50.3,uq_m3
2021-04-07T08:42:53Z,top,pm2.5,34.4,uq_m3
2021-04-07T08:42:53Z,top,pm10,84.55,uq_m3
2021-04-07T08:48:33Z,top,pm2.5,42.95,uq_m3
2021-04-07T08:48:33Z,top,pm10,108.45,uq_m3
2021-04-07T08:54:14Z,top,pm2.5,35.65,uq_m3
2021-04-07T08:54:14Z,top,pm10,101.8,uq_m3
2021-04-07T08:59:54Z,top,pm2.5,37.5,uq_m3
2021-04-07T08:59:54Z,top,pm10,105.4,uq_m3
2021-04-07T09:05:34Z,top,pm2.5,35.7,uq_m3
2021-04-07T09:05:34Z,top,pm10,97.15,uq_m3
2021-04-07T09:11:14Z,top,pm2.5,40.35,uq_m3
2021-04-07T09:11:14Z,top,pm10,124.6,uq_m3
2021-04-07T09:16:54Z,top,pm2.5,42.5,uq_m3
2021-04-07T09:16:54Z,top,pm10,146.2,uq_m3
2021-04-07T09:22:35Z,top,pm2.5,22.85,uq_m3
2021-04-07T09:22:35Z,top,pm10,96.75,uq_m3
2021-04-07T09:28:15Z,top,pm2.5,20.45,uq_m3
2021-04-07T09:28:15Z,top,pm10,157.25,uq_m3
2021-04-07T09:33:55Z,top,pm2.5,13.5,uq_m3
2021-04-07T09:33:55Z,top,pm10,58.15,uq_m3
2021-04-07T09:39:35Z,top,pm2.5,13.5,uq_m3
2021-04-07T09:39:35Z,top,pm10,56.55,uq_m3
2021-04-07T09:45:15Z,top,pm2.5,9.9,uq_m3
2021-04-07T09:45:15Z,top,pm10,66.1,uq_m3
2021-04-07T09:50:56Z,top,pm2.5,13.7,uq_m3
2021-04-07T09:50:56Z,top,pm10,62.65,uq_m3
2021-04-07T09:56:36Z,top,pm2.5,39.8,uq_m3
2021-04-07T09:56:36Z,top,pm10,122.8,uq_m3
2021-04-07T10:02:16Z,top,pm2.5,36.5,uq_m3
2021-04-07T10:02:16Z,top,pm10,107.4,uq_m3
2021-04-07T10:07:56Z,top,pm2.5,37.9,uq_m3
2021-04-07T10:07:56Z,top,pm10,108,uq_m3
2021-04-07T10:13:36Z,top,pm2.5,40.45,uq_m3
2021-04-07T10:13:36Z,top,pm10,109.75,uq_m3
